HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,CommonName,Female maturity (days),Male maturity (days),diff male/female maturity,Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
9999,,,,,,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Branchiopoda,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Branchiopoda.Diplostraca,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Branchiopoda.Diplostraca.Daphniidae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Branchiopoda.Diplostraca.Daphniidae.Daphnia,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Diptera,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Diptera.Drosophilidae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Diptera.Drosophilidae.Drosophila,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Hymenoptera,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Hymenoptera.Apidae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Hymenoptera.Apidae.Apis,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Hymenoptera.Formicidae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Hymenoptera.Formicidae.Cardiocondyla,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Hymenoptera.Formicidae.Lasius,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Hymenoptera.Formicidae.Pheidole,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Lepidoptera,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Lepidoptera.Nymphalidae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Insecta.Lepidoptera.Nymphalidae.Bicyclus,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Malacostraca,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Malacostraca.Decapoda,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Malacostraca.Decapoda.Nephropidae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Arthropoda.Malacostraca.Decapoda.Nephropidae.Homarus,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Saccharomycetes,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Saccharomycetes.Saccharomycetales,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Saccharomycetes.Saccharomycetales.Saccharomycetaceae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Saccharomycetes.Saccharomycetales.Saccharomycetaceae.Saccharomyces,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Schizosaccharomycetes,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Schizosaccharomycetes.Schizosaccharomycetales,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Schizosaccharomycetes.Schizosaccharomycetales.Schizosaccharomycetaceae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Schizosaccharomycetes.Schizosaccharomycetales.Schizosaccharomycetaceae.Schizosaccharomyces,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Sordariomycetes,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Sordariomycetes.Sordariales,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Sordariomycetes.Sordariales.Lasiosphaeriaceae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Ascomycota.Sordariomycetes.Sordariales.Lasiosphaeriaceae.Podospora,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata.Amphibia,,,,,,,,,,,,,,,,,,,,,,,,
