HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Common name,Femalematurity,Malematurity,Gestation,LitterSize,Adultweight,Maximumlongevity
4237,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,elegans,Animalia.Nematoda.Chromadorea.Rhabditida.Rhabditidae.Caenorhabditis.elegans,Roundworm,3,3,,,,0.16
3805,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Eviota,sigillata,Animalia.Chordata.Teleostei.Perciformes.Gobiidae.Eviota.sigillata,Pygmy goby,36,36,,135,,0.16
5,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Animalia.Arthropoda.Insecta.Diptera.Drosophilidae.Drosophila.melanogaster,Fruit fly,7,7,,,,0.3
2950,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,labordi,Animalia.Chordata.Reptilia.Squamata.Chamaeleonidae.Furcifer.labordi,Labord's chameleon,60,60,260,11,,0.4
11,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Animalia.Arthropoda.Insecta.Lepidoptera.Nymphalidae.Bicyclus.anynana,Squinting bush brown,15,15,,,,0.5
3686,Animalia,Chordata,Teleostei,Gasterosteiformes,Syngnathidae,Hippocampus,zosterae,Animalia.Chordata.Teleostei.Gasterosteiformes.Syngnathidae.Hippocampus.zosterae,Dwarf seahorse,118,118,,,,1
3803,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Crystallogobius,linearis,Animalia.Chordata.Teleostei.Perciformes.Gobiidae.Crystallogobius.linearis,Crystal goby,365,365,,,,1
3601,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Pimephales,promelas,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Pimephales.promelas,Fathead minnow,60,60,5,4500,,2
3434,Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Labidesthes,sicculus,Animalia.Chordata.Teleostei.Atheriniformes.Atherinopsidae.Labidesthes.sicculus,Brook silverside,120,120,,,,2
81,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Animalia.Chordata.Amphibia.Anura.Microhylidae.Scaphiophryne.gottlebei,Rainbow frog,365,365,,,,2
3717,Animalia,Chordata,Teleostei,Osmeriformes,Retropinnidae,Retropinna,semoni,Animalia.Chordata.Teleostei.Osmeriformes.Retropinnidae.Retropinna.semoni,Australian smelt,365,365,,,,2
3904,Animalia,Chordata,Teleostei,Perciformes,Percidae,Etheostoma,fusiforme,Animalia.Chordata.Teleostei.Perciformes.Percidae.Etheostoma.fusiforme,Swamp darter,365,365,,,,2
2844,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,brevicauda,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Blarina.brevicauda,Northern short-tailed shrew,46,65,17,6,21.6,2.2
2507,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,amphibius,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Arvicola.amphibius,European water vole,51,45,21,5.1,120,2.5
2869,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Condylura,cristata,Animalia.Chordata.Mammalia.Soricomorpha.Talpidae.Condylura.cristata,Star-nosed mole,304,304,40,4.4,55.3,2.5
2845,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,hylophaga,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Blarina.hylophaga,Elliot's short-tailed shrew,84,42,23,6.5,14.5,2.8
2849,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,suaveolens,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Crocidura.suaveolens,Lesser shrew,175,365,27,4,7.7,2.8
2847,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,leucodon,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Crocidura.leucodon,Bicolored shrew,95,95,30,5,11,2.9
3635,Animalia,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,Animalia.Chordata.Teleostei.Cyprinodontiformes.Poeciliidae.Gambusia.affinis,Mosquitofish,90,90,,,,3
76,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Animalia.Chordata.Amphibia.Anura.Mantellidae.Mantella.expectata,Blue-legged mantella,365,365,,,,3
890,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,rubrifrons,Animalia.Chordata.Aves.Passeriformes.Parulidae.Cardellina.rubrifrons,Red-faced warbler,365,365,13,4,9.8,3
3473,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Harengula,jaguana,Animalia.Chordata.Teleostei.Clupeiformes.Clupeidae.Harengula.jaguana,Scaled herring,365,365,,,,3
3485,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,encrasicolus,Animalia.Chordata.Teleostei.Clupeiformes.Engraulidae.Engraulis.encrasicolus,European anchovy,365,365,,,,3
3486,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,japonicus,Animalia.Chordata.Teleostei.Clupeiformes.Engraulidae.Engraulis.japonicus,Japanese anchovy,365,365,,,,3
3597,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Phenacobius,crassilabrum,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Phenacobius.crassilabrum,Fatlips minnow,365,365,,,,3
3816,Animalia,Chordata,Teleostei,Perciformes,Gobiidae,Pomatoschistus,minutus,Animalia.Chordata.Teleostei.Perciformes.Gobiidae.Pomatoschistus.minutus,Freckled goby,365,365,,,,3
4091,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,Animalia.Chordata.Teleostei.Salmoniformes.Salmonidae.Oncorhynchus.gorbuscha,Pink salmon,730,730,,,3740,3
4109,Animalia,Chordata,Teleostei,Scorpaeniformes,Agonidae,Agonus,cataphractus,Animalia.Chordata.Teleostei.Scorpaeniformes.Agonidae.Agonus.cataphractus,Armed bullhead,912,912,,,,3
2853,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Neomys,fodiens,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Neomys.fodiens,Eurasian water shrew,106,106,20,5,15,3.1
2868,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Suncus,murinus,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Suncus.murinus,Asian house shrew,36,36,30,3,45.9,3.2
2269,Animalia,Chordata,Mammalia,Peramelemorphia,Peramelidae,Peroryctes,raffrayana,Animalia.Chordata.Mammalia.Peramelemorphia.Peramelidae.Peroryctes.raffrayana,Raffray's bandicoot,90,150,,3,675,3.2
2855,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,araneus,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Sorex.araneus,Eurasian shrew,198,335,21,6,9,3.2
2867,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Suncus,etruscus,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Suncus.etruscus,White-toothed pygmy shrew,365,365,27,4,2.1,3.2
2518,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lemmus,lemmus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Lemmus.lemmus,Norway lemming,24,44,19,7,70,3.3
2508,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,taylori,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Baiomys.taylori,Northern pygmy mouse,44,75,20,3,8,3.3
2511,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,groenlandicus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Dicrostonyx.groenlandicus,Collared lemming,40,85,20,3.4,66,3.3
2850,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Cryptotis,parva,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Cryptotis.parva,Least shrew,40,43,21,4.5,4.5,3.5
2496,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Galea,musteloides,Animalia.Chordata.Mammalia.Rodentia.Caviidae.Galea.musteloides,Common yellow-toothed cavy,66,60,54,2.63,337.9,3.5
2083,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,Animalia.Chordata.Mammalia.Dasyuromorphia.Dasyuridae.Antechinomys.laniger,Kultarr,350,350,12,6,24,3.5
2510,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetus,cricetus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Cricetus.cricetus,Black-bellied hamster,43,56,20,7,506.7,3.6
2691,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micromys,minutus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Micromys.minutus,Old World harvest mouse,40,37,20,5.2,6,3.8
2516,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lagurus,lagurus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Lagurus.lagurus,Steppe lemming,38,44,20,4.5,20.3,3.8
2717,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Rattus.norvegicus,Norway rat,90,70,21,9.9,300,3.8
2520,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,auratus,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Mesocricetus.auratus,Golden hamster,48,48,16,9,105,3.9
2525,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,guentheri,Animalia.Chordata.Mammalia.Rodentia.Cricetidae.Microtus.guentheri,Vole,60,95,21,6,51.6,3.9
2138,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,brevicaudata,Animalia.Chordata.Mammalia.Didelphimorphia.Didelphidae.Monodelphis.brevicaudata,Short bare-tailed opossum,180,180,,7,90,3.9
729,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Peucaea,aestivalis,Animalia.Chordata.Aves.Passeriformes.Emberizidae.Peucaea.aestivalis,Bachman's sparrow,365,365,13,4,19.6,3.9
2697,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,musculus,Animalia.Chordata.Mammalia.Rodentia.Muridae.Mus.musculus,House mouse,42,42,19,7,20.5,4
2848,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,russula,Animalia.Chordata.Mammalia.Soricomorpha.Soricidae.Crocidura.russula,White-toothed shrew,75,75,29,4,11.6,4
3788,Animalia,Chordata,Teleostei,Perciformes,Coryphaenidae,Coryphaena,hippurus,Animalia.Chordata.Teleostei.Perciformes.Coryphaenidae.Coryphaena.hippurus,Common dolphinfish,197,197,,,22000,4
3483,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Cetengraulis,mysticetus,Animalia.Chordata.Teleostei.Clupeiformes.Engraulidae.Cetengraulis.mysticetus,Anchoveta,365,365,,,,4
3607,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Rhinichthys,atratulus,Animalia.Chordata.Teleostei.Cypriniformes.Cyprinidae.Rhinichthys.atratulus,Blacknose dace,365,365,,750,,4
3921,Animalia,Chordata,Teleostei,Perciformes,Percidae,Etheostoma,rufilineatum,Animalia.Chordata.Teleostei.Perciformes.Percidae.Etheostoma.rufilineatum,Redline darter,365,365,,77,,4
3478,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sardinella,longiceps,Animalia.Chordata.Teleostei.Clupeiformes.Clupeidae.Sardinella.longiceps,Indian oil sardine,730,719,,,110,4
3665,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,luscus,Animalia.Chordata.Teleostei.Gadiformes.Gadidae.Trisopterus.luscus,Pout whiting,365,730,,,,4
3470,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Dorosoma,petenense,Animalia.Chordata.Teleostei.Clupeiformes.Clupeidae.Dorosoma.petenense,Threadfin shad,730,730,,,,4
