brewery_name,type,state,state_breweries,state_Brewpub,state_Microbrewery,state_RegionalBrewery,state_ContractBrewery,state_MultitapBar,state_BOP-BrewOnPremise
Valley Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Valley Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Valley Brewing Co,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Ukiah Brewing Company,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Tustin Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Trumer Brauerei,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Trumer Brauerei,RegionalBrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Triple Rock Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Tied House Cafe & Brewery (San Jose),Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Tied House Cafe & Brewery (Mt. View),Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Thirsty Bear Brewing Co.,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Third Street Ale Works,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
The Brewhouse,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
The Beach Chalet,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Telegraph Brewing Company,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Taylor's Restaurant & Brewery,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Taps Fishouse & Brewery,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
"Tailgate Brewery, LLC",ContractBrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Sudwerk Privatbrauerei Hübsch,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Sudwerk Brewery & Grill,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Stumptown Brewery,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Stone Brewing/World Bistro & Gardens,RegionalBrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Steelhead Brewing Co - Burlingame,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Steelhead Brewery & Cafe,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Stadium Brewing Company,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
St. Stan's Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Speakeasy Ales and Lagers,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Spanish Peaks Brewing Co. ,ContractBrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Sonoma Chicken & Brewery,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Solana Beach Brewery (Pizza Port),Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Snowshoe Brewing Company,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Snowshoe Brewing Company,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Snowshoe Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Skyscraper Brewing Company,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Six Rivers Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Silverado Brewing Company,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Sierra Nevada Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Sierra Madre Brewing Co.,ContractBrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Shmaltz Brewing Co,ContractBrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Sequoia Brewing Company,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Sequoia Brewing Company,MultitapBar,California,284,184,77.0,8.0,11.0,2.0,2.0
Seabright Brewery,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Schooners Grille & Brewery,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
Santa Cruz Mountain Brewing Co.,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Santa Cruz Aleworks,Microbrewery,California,284,184,77.0,8.0,11.0,2.0,2.0
Santa Barbara Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
San Pedro Brewing Company,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
San Marcos Brewery & Grill,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
San Francisco Brewing Co.,Brewpub,California,284,184,77.0,8.0,11.0,2.0,2.0
