"","Car","Manufacturer","MPG","Cylinders","Displacement","Horsepower","Weight","Acceleration","Model.Year","Origin"
"5","torino","ford",17,8,302,140,3449,10.5,70,"American"
"6","galaxie 500","ford",15,8,429,198,4341,10,70,"American"
"13","torino (sw)","ford",NA,8,351,153,4034,11,70,"American"
"18","mustang boss 302","ford",NA,8,302,140,3353,8,70,"American"
"21","corona mark ii","toyota",24,4,113,95,2372,15,70,"Japanese"
"24","maverick","ford",21,6,200,85,2587,16,70,"American"
"30","2002","bmw",26,4,121,113,2234,12.5,70,"European"
"32","f250","ford",10,8,360,215,4615,14,70,"American"
"38","corona","toyota",25,4,113,95,2228,14,71,"Japanese"
"39","pinto","ford",25,4,98,NA,2046,19,71,"American"
"44","torino 500","ford",19,6,250,88,3302,15.5,71,"American"
"48","galaxie 500","ford",14,8,351,153,4154,13.5,71,"American"
"51","country squire (sw)","ford",13,8,400,170,4746,12,71,"American"
"56","mustang","ford",18,6,250,88,3139,14.5,71,"American"
"61","corolla 1200","toyota",31,4,71,65,1773,19,71,"Japanese"
"65","corona hardtop","toyota",24,4,113,95,2278,15.5,72,"Japanese"
"69","pinto runabout","ford",21,4,122,86,2226,16.5,72,"American"
"73","galaxie 500","ford",14,8,351,153,4129,13,72,"American"
"82","gran torino (sw)","ford",13,8,302,140,4294,16,72,"American"
