class_binary,class,cap_shape,cap_surface,cap_color,odor,gill_color,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,ring_number,habitat
0,poisonous,convex,smooth,brown,pungent,black,enlarging,smooth,smooth,white,white,1,urban
1,edible,convex,smooth,yellow,almond,black,enlarging,smooth,smooth,white,white,1,grasses
1,edible,bell,smooth,white,anise,brown,enlarging,smooth,smooth,white,white,1,meadows
0,poisonous,convex,scaly,white,pungent,brown,enlarging,smooth,smooth,white,white,1,urban
1,edible,convex,smooth,gray,none,black,tapering,smooth,smooth,white,white,1,grasses
1,edible,convex,scaly,yellow,almond,brown,enlarging,smooth,smooth,white,white,1,grasses
1,edible,bell,smooth,white,almond,gray,enlarging,smooth,smooth,white,white,1,meadows
1,edible,bell,scaly,white,anise,brown,enlarging,smooth,smooth,white,white,1,meadows
0,poisonous,convex,scaly,white,pungent,pink,enlarging,smooth,smooth,white,white,1,grasses
1,edible,bell,smooth,yellow,almond,gray,enlarging,smooth,smooth,white,white,1,meadows
1,edible,convex,scaly,yellow,anise,gray,enlarging,smooth,smooth,white,white,1,grasses
1,edible,convex,scaly,yellow,almond,brown,enlarging,smooth,smooth,white,white,1,meadows
1,edible,bell,smooth,yellow,almond,white,enlarging,smooth,smooth,white,white,1,grasses
0,poisonous,convex,scaly,white,pungent,black,enlarging,smooth,smooth,white,white,1,urban
1,edible,convex,fibrous,brown,none,brown,tapering,smooth,fibrous,white,white,1,grasses
1,edible,sunken,fibrous,gray,none,black,enlarging,smooth,smooth,white,white,1,urban
1,edible,flat,fibrous,white,none,black,tapering,smooth,smooth,white,white,1,grasses
0,poisonous,convex,smooth,brown,pungent,brown,enlarging,smooth,smooth,white,white,1,grasses
0,poisonous,convex,scaly,white,pungent,brown,enlarging,smooth,smooth,white,white,1,urban
0,poisonous,convex,smooth,brown,pungent,black,enlarging,smooth,smooth,white,white,1,urban
1,edible,bell,smooth,yellow,almond,black,enlarging,smooth,smooth,white,white,1,meadows
0,poisonous,convex,scaly,brown,pungent,brown,enlarging,smooth,smooth,white,white,1,grasses
1,edible,bell,scaly,yellow,anise,black,enlarging,smooth,smooth,white,white,1,meadows
1,edible,bell,scaly,white,almond,white,enlarging,smooth,smooth,white,white,1,meadows
1,edible,bell,smooth,white,anise,gray,enlarging,smooth,smooth,white,white,1,meadows
0,poisonous,flat,smooth,white,pungent,brown,enlarging,smooth,smooth,white,white,1,grasses
1,edible,convex,scaly,yellow,almond,brown,enlarging,smooth,smooth,white,white,1,meadows
1,edible,convex,scaly,white,anise,white,enlarging,smooth,smooth,white,white,1,meadows
1,edible,flat,fibrous,brown,none,black,enlarging,smooth,smooth,white,white,1,urban
1,edible,convex,smooth,yellow,almond,brown,tapering,smooth,smooth,white,white,1,woods
1,edible,bell,smooth,yellow,anise,gray,enlarging,smooth,smooth,white,white,1,meadows
0,poisonous,convex,scaly,white,pungent,black,enlarging,smooth,smooth,white,white,1,urban
1,edible,convex,scaly,yellow,anise,brown,enlarging,smooth,smooth,white,white,1,meadows
1,edible,convex,scaly,brown,anise,pink,enlarging,smooth,scaly,white,white,1,paths
1,edible,bell,scaly,yellow,anise,brown,enlarging,smooth,smooth,white,white,1,meadows
1,edible,convex,fibrous,yellow,anise,white,tapering,smooth,smooth,white,white,1,woods
1,edible,sunken,fibrous,gray,none,black,enlarging,smooth,smooth,white,white,1,urban
0,poisonous,convex,scaly,brown,pungent,white,enlarging,smooth,smooth,white,white,1,urban
1,edible,convex,fibrous,yellow,almond,pink,tapering,smooth,smooth,white,white,1,woods
1,edible,bell,smooth,yellow,anise,black,enlarging,smooth,smooth,white,white,1,meadows
1,edible,bell,scaly,yellow,almond,brown,enlarging,smooth,smooth,white,white,1,grasses
1,edible,convex,scaly,yellow,anise,brown,enlarging,smooth,scaly,white,white,1,paths
1,edible,convex,fibrous,brown,none,gray,enlarging,smooth,smooth,white,white,1,urban
0,poisonous,convex,scaly,white,pungent,pink,enlarging,smooth,smooth,white,white,1,grasses
1,edible,convex,smooth,yellow,almond,white,enlarging,smooth,smooth,white,white,1,meadows
1,edible,convex,scaly,white,almond,brown,enlarging,smooth,smooth,white,white,1,grasses
1,edible,convex,scaly,yellow,anise,black,enlarging,smooth,smooth,white,white,1,meadows
1,edible,convex,smooth,white,anise,white,enlarging,smooth,smooth,white,white,1,meadows
1,edible,convex,scaly,yellow,anise,brown,enlarging,smooth,scaly,white,white,1,paths
1,edible,flat,scaly,yellow,anise,white,enlarging,smooth,scaly,white,white,1,paths
1,edible,convex,scaly,brown,almond,white,enlarging,smooth,scaly,white,white,1,grasses
1,edible,convex,smooth,white,anise,black,enlarging,smooth,smooth,white,white,1,grasses
1,edible,bell,smooth,white,anise,black,enlarging,smooth,smooth,white,white,1,meadows
0,poisonous,convex,scaly,brown,pungent,black,enlarging,smooth,smooth,white,white,1,urban
0,poisonous,convex,smooth,white,pungent,black,enlarging,smooth,smooth,white,white,1,urban
1,edible,bell,scaly,yellow,almond,white,enlarging,smooth,smooth,white,white,1,meadows
1,edible,flat,fibrous,gray,none,brown,tapering,smooth,smooth,white,white,1,grasses
1,edible,bell,smooth,white,almond,white,enlarging,smooth,smooth,white,white,1,grasses
1,edible,convex,smooth,yellow,anise,black,enlarging,smooth,smooth,white,white,1,grasses
1,edible,convex,scaly,brown,almond,pink,enlarging,smooth,scaly,white,white,1,paths
