state,state_breweries,state_Brewpub,state_Microbrewery,state_RegionalBrewery,state_ContractBrewery,state_MultitapBar,state_BOP-BrewOnPremise,GEO_ID
California,284,184,77,8,11,2,2,
Nevada,18,14,3,0,1,0,0,
Wyoming,8,6,2,0,0,0,0,
Alabama,6,2,2,0,2,0,0,
Connecticut,11,7,4,0,0,0,0,
Iowa,13,10,3,0,0,0,0,
Missouri,21,10,10,0,1,0,0,
Nebraska,15,11,3,0,1,0,0,
Alaska,14,5,9,0,0,0,0,
Arizona,34,21,12,0,1,0,0,
Arkansas,7,6,1,0,0,0,0,
Colorado,182,100,61,2,19,0,0,
Delaware,14,7,4,2,1,0,0,
Florida,99,69,19,2,8,0,1,
Georgia,47,27,14,1,5,0,0,
Hawaii,10,4,5,0,1,0,0,
Idaho,28,15,13,0,0,0,0,
Illinois,74,48,16,1,8,0,1,
Indiana,31,20,10,0,1,0,0,
Kansas,26,19,6,0,1,0,0,
Kentucky,12,6,5,0,1,0,0,
Louisiana,15,4,8,0,3,0,0,
Maine,44,24,20,0,0,0,0,
Maryland,43,26,11,1,4,0,1,
Massachusetts,71,33,30,1,7,0,0,
Michigan,94,55,29,1,9,0,0,
Minnesota,40,24,8,2,6,0,0,
Montana,32,7,23,1,1,0,0,
New Hampshire,18,10,6,1,1,0,0,
New Jersey,41,21,15,0,5,0,0,
New Mexico,37,25,11,0,1,0,0,
New York,107,56,39,3,9,0,0,
North Carolina,61,26,33,0,2,0,0,
North Dakota,5,4,0,0,1,0,0,
Ohio,56,31,18,2,5,0,0,
Oklahoma,16,8,6,0,2,0,0,
Oregon,156,119,33,1,2,0,1,
Pennsylvania,107,65,26,3,12,0,1,
Rhode Island,12,4,8,0,0,0,0,
South Carolina,32,21,9,0,2,0,0,
South Dakota,11,8,3,0,0,0,0,
Tennessee,28,22,4,0,2,0,0,
Texas,90,54,30,1,5,0,0,
Utah,21,17,1,2,1,0,0,
Vermont,28,13,12,3,0,0,0,
Virginia,43,28,13,0,1,0,1,
Washington,151,82,66,1,2,0,0,
West Virginia,5,4,0,0,1,0,0,
Wisconsin,77,44,27,4,2,0,0,
Washington DC,9,6,0,0,3,0,0,
