id,CountryName,population,Region,2015,2016,2017,2018,2019,2020,Known Tax Heaven
CHN,China,1330141295,China,25.0,25.0,25.0,25.0,25.0,25.0,
IND,India,1173108018,India,34.61,34.61,34.61,35.0,30.0,30.0,
USA,United States,310232863,United States,40.0,40.0,40.0,27.0,27.0,27.0,
IDN,Indonesia,242968342,Small Asia,25.0,25.0,25.0,25.0,25.0,25.0,
BRA,Brazil,201103330,Latin America & Caribbean,34.0,34.0,34.0,34.0,34.0,34.0,
PAK,Pakistan,177276594,Small Asia,33.0,32.0,31.0,30.0,30.0,35.0,
BGD,Bangladesh,158065841,Small Asia,25.0,25.0,25.0,25.0,25.0,25.0,
NGA,Nigeria,152217341,Africa and Middle East,30.0,30.0,30.0,30.0,30.0,30.0,
RUS,Russia,139390205,Eastern Europe & Russia,20.0,20.0,20.0,20.0,20.0,20.0,
JPN,Japan,126804433,Japan,33.86,30.86,30.86,30.86,30.62,30.62,
MEX,Mexico,112468855,Latin America & Caribbean,30.0,30.0,30.0,30.0,30.0,30.0,
PHL,Philippines,99900177,Small Asia,30.0,30.0,30.0,30.0,30.0,30.0,
VNM,Vietnam,89571130,Small Asia,22.0,22.0,20.0,20.0,20.0,20.0,
ETH,Ethiopia,88013491,,0.0,0.0,30.0,30.0,30.0,30.0,
DEU,Germany,82282988,EU & Environs,29.72,29.72,29.79,30.0,30.0,30.0,
EGY,Egypt,80471869,Africa and Middle East,22.5,22.5,22.5,23.0,22.5,22.5,
TUR,Turkey,77804122,EU & Environs,20.0,20.0,20.0,22.0,22.0,22.0,
COD,"Congo, Democratic Republic of the",70916439,,,,,,,,
IRN,Iran,67037517,,,,,,,,
THA,Thailand,66404688,Small Asia,20.0,20.0,20.0,20.0,20.0,20.0,
FRA,France,64057792,EU & Environs,33.33,33.3,33.33,33.0,31.0,28.0,
GBR,United Kingdom,61284806,UK,20.0,20.0,19.0,19.0,19.0,19.0,True
ITA,Italy,58090681,EU & Environs,31.4,31.4,24.0,24.0,24.0,24.0,
MMR,Burma,53414374,,,,,,,,
ZAF,South Africa,49109107,Africa and Middle East,28.0,28.0,28.0,28.0,28.0,28.0,
KOR,"Korea, South",48636068,,,,,,,,
UKR,Ukraine,45415596,Eastern Europe & Russia,18.0,18.0,18.0,18.0,18.0,18.0,
COL,Colombia,44205293,Latin America & Caribbean,25.0,25.0,34.0,33.0,33.0,32.0,
SDN,Sudan,41980182,Africa and Middle East,35.0,35.0,35.0,35.0,35.0,35.0,
TZA,Tanzania,41892895,Africa and Middle East,30.0,30.0,30.0,30.0,30.0,30.0,
ARG,Argentina,41343201,Latin America & Caribbean,35.0,35.0,35.0,30.0,30.0,30.0,
ESP,Spain,40548753,EU & Environs,28.0,25.0,25.0,25.0,25.0,25.0,
KEN,Kenya,40046566,Africa and Middle East,30.0,30.0,30.0,30.0,30.0,30.0,
POL,Poland,38463689,EU & Environs,19.0,19.0,19.0,19.0,19.0,19.0,
DZA,Algeria,34586184,,26.0,26.0,26.0,26.0,26.0,26.0,
CAN,Canada,33759742,Canada,26.5,26.5,26.5,26.5,26.5,26.5,
UGA,Uganda,33398682,Eastern Europe & Russia,30.0,30.0,30.0,30.0,30.0,30.0,
MAR,Morocco,31627428,Africa and Middle East,31.0,31.0,31.0,31.0,31.0,31.0,
PER,Peru,29907003,Latin America & Caribbean,28.0,28.0,29.5,29.5,29.5,29.5,
IRQ,Iraq,29671605,,15.0,15.0,15.0,15.0,15.0,15.0,
SAU,Saudi Arabia,29207277,Africa and Middle East,20.0,20.0,20.0,20.0,20.0,20.0,
AFG,Afghanistan,29121286,,20.0,20.0,20.0,20.0,20.0,20.0,
NPL,Nepal,28951852,,,,,,,,
UZB,Uzbekistan,27865738,,0.0,7.5,7.5,7.5,7.5,7.5,
VEN,Venezuela,27223228,Latin America & Caribbean,34.0,34.0,34.0,34.0,34.0,34.0,
MYS,Malaysia,26160256,Small Asia,24.0,24.0,24.0,24.0,24.0,24.0,
GHA,Ghana,24339838,Africa and Middle East,25.0,25.0,25.0,25.0,25.0,25.0,
YEM,Yemen,23495361,,20.0,20.0,20.0,20.0,20.0,20.0,
TWN,Taiwan,23024956,Small Asia,17.0,17.0,17.0,20.0,20.0,20.0,True
PRK,"Korea, North",22757275,,,,,,,,
SYR,Syria,22198110,,22.0,22.0,28.0,28.0,28.0,28.0,
ROU,Romania,22181287,Eastern Europe & Russia,16.0,16.0,16.0,16.0,16.0,16.0,
MOZ,Mozambique,22061451,,32.0,32.0,32.0,32.0,32.0,32.0,
AUS,Australia,21515754,Australia & NZ,30.0,30.0,30.0,30.0,30.0,30.0,
LKA,Sri Lanka,21513990,Small Asia,28.0,15.0,28.0,28.0,28.0,28.0,
MDG,Madagascar,21281844,,0.0,0.0,20.0,20.0,20.0,20.0,
CIV,Cote d'Ivoire,21058798,,,,,,,,
CMR,Cameroon,19294149,Africa and Middle East,33.0,33.0,33.0,33.0,33.0,33.0,
NLD,Netherlands,16783092,EU & Environs,25.0,25.0,25.0,25.0,25.0,25.0,True
CHL,Chile,16746491,Latin America & Caribbean,24.0,24.0,25.5,26.0,27.0,27.0,
BFA,Burkina Faso,16241811,Africa and Middle East,0.0,0.0,27.5,28.0,28.0,28.0,
NER,Niger,15878271,Africa and Middle East,,,,,,,
KAZ,Kazakhstan,15460484,Eastern Europe & Russia,20.0,20.0,20.0,20.0,20.0,20.0,
MWI,Malawi,15447500,Africa and Middle East,30.0,30.0,30.0,30.0,30.0,30.0,
ECU,Ecuador,14790608,Latin America & Caribbean,22.0,22.0,22.0,25.0,25.0,25.0,
KHM,Cambodia,14753320,Small Asia,20.0,20.0,20.0,20.0,20.0,20.0,
