VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020/12/1 0:07,2020/12/1 0:18,1,7.6,1,N,138,263,1,21.5,3,0.5,2.5,6.12,0.3,33.92,2.5
1,2020/12/1 0:41,2020/12/1 0:49,1,1.6,1,N,140,263,1,8,3,0.5,2.95,0,0.3,14.75,2.5
2,2020/12/1 0:33,2020/12/1 1:00,1,16.74,2,N,132,164,1,52,0,0.5,2.5,6.12,0.3,63.92,2.5
2,2020/12/1 0:02,2020/12/1 0:13,1,4.16,1,N,238,48,1,14,0.5,0.5,1,0,0.3,18.8,2.5
2,2020/12/1 0:37,2020/12/1 0:45,1,2.22,1,N,238,41,2,8.5,0.5,0.5,0,0,0.3,9.8,0
1,2020/12/1 0:27,2020/12/1 0:45,0,8.4,1,N,138,137,1,25,3,0.5,6,6.12,0.3,40.92,2.5
2,2020/12/1 0:40,2020/12/1 0:57,1,6.44,1,N,132,191,1,19.5,0.5,0.5,4.16,0,0.3,24.96,0
2,2020/12/1 0:01,2020/12/1 0:06,1,0.99,1,N,234,137,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,2020/12/1 0:58,2020/12/1 1:36,2,11.81,1,N,261,7,1,36.5,0.5,0.5,1,0,0.3,41.3,2.5
1,2020/12/1 0:08,2020/12/1 0:16,2,2.7,1,N,237,107,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
2,2020/12/1 0:04,2020/12/1 0:29,1,6.28,1,N,41,68,2,23,0.5,0.5,0,0,0.3,26.8,2.5
2,2020/12/1 0:22,2020/12/1 0:52,1,18.93,2,N,132,211,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020/12/1 0:46,2020/12/1 0:53,5,2.75,1,N,249,230,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2020/12/1 0:51,2020/12/1 1:26,2,21.8,2,N,132,13,1,52,0,0.5,11.06,0,0.3,66.36,2.5
1,2020/12/1 0:14,2020/12/1 0:31,1,7.6,1,N,140,65,1,23,3,0.5,5.35,0,0.3,32.15,2.5
1,2020/12/1 0:11,2020/12/1 0:17,1,1.7,1,N,239,141,2,7.5,3,0.5,0,0,0.3,11.3,2.5
1,2020/12/1 0:54,2020/12/1 0:57,1,0.5,1,N,263,141,2,4,3,0.5,0,0,0.3,7.8,2.5
1,2020/12/1 0:11,2020/12/1 0:40,1,21,2,N,132,231,1,52,2.5,0.5,16.55,0,0.3,71.85,2.5
2,2020/11/30 23:59,2020/12/1 0:05,3,0.81,1,N,50,48,1,5.5,0.5,0.5,1.88,0,0.3,11.18,2.5
2,2020/12/1 0:24,2020/12/1 0:29,4,1.45,1,N,48,162,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
1,2020/12/1 0:53,2020/12/1 0:54,1,0,1,N,132,132,3,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2020/12/1 0:20,2020/12/1 0:32,5,3.78,1,N,140,42,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,2020/12/1 0:42,2020/12/1 0:46,1,1.12,1,N,138,129,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2020/12/1 0:02,2020/12/1 0:11,1,1.63,1,N,137,48,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020/12/1 0:14,2020/12/1 0:38,3,7.01,1,N,137,129,2,23.5,0.5,0.5,0,0,0.3,27.3,2.5
2,2020/12/1 0:21,2020/12/1 0:33,1,5.31,1,N,141,69,1,16,0.5,0.5,0,0,0.3,19.8,2.5
2,2020/12/1 0:34,2020/12/1 0:50,1,7.92,1,N,138,137,1,23,0.5,0.5,6.58,6.12,0.3,39.5,2.5
1,2020/12/1 0:52,2020/12/1 0:54,1,0.7,1,N,162,170,2,4,3,0.5,0,0,0.3,7.8,2.5
2,2020/12/1 0:30,2020/12/1 0:39,2,2.33,1,N,161,140,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2020/11/30 23:56,2020/12/1 0:03,1,1.72,1,N,161,107,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020/12/1 0:29,2020/12/1 0:31,1,0.52,1,N,237,141,1,3.5,0.5,0.5,1.82,0,0.3,9.12,2.5
1,2020/12/1 0:20,2020/12/1 0:23,0,1.1,1,N,90,230,2,5,3,0.5,0,0,0.3,8.8,2.5
2,2020/12/1 0:19,2020/12/1 0:28,1,2.22,1,N,230,239,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2020/12/1 0:25,2020/12/1 0:47,1,18.75,2,N,132,262,1,52,0,0.5,20,6.12,0.3,81.42,2.5
2,2020/12/1 0:12,2020/12/1 0:31,1,8.06,1,N,75,88,1,25,0.5,0.5,5.76,0,0.3,34.56,2.5
1,2020/12/1 0:57,2020/12/1 1:10,1,3.7,1,N,148,49,2,13.5,3,0.5,0,0,0.3,17.3,2.5
2,2020/12/1 0:00,2020/12/1 0:06,1,2.52,1,N,140,137,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020/12/1 0:14,2020/12/1 0:38,2,10.05,1,N,132,225,1,30,0.5,0.5,6.26,0,0.3,37.56,0
2,2020/12/1 0:14,2020/12/1 0:21,1,2.41,1,N,48,107,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020/12/1 0:31,2020/12/1 0:36,1,1.37,1,N,68,230,2,6,0.5,0.5,0,0,0.3,9.8,2.5
1,2020/12/1 0:08,2020/12/1 0:16,1,2.4,1,N,263,238,1,9,3.5,0.5,2.65,0,0.3,15.95,2.5
1,2020/12/1 0:17,2020/12/1 0:24,1,2.4,1,N,233,236,1,9,3,0.5,2.55,0,0.3,15.35,2.5
