id,pokedex_number,name,generation,status,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed
0,1,Bulbasaur,1,Normal,Grass,Poison,45,49,49,65,65,45
1,2,Ivysaur,1,Normal,Grass,Poison,60,62,63,80,80,60
2,3,Venusaur,1,Normal,Grass,Poison,80,82,83,100,100,80
3,3,Mega Venusaur,1,Normal,Grass,Poison,80,100,123,122,120,80
4,4,Charmander,1,Normal,Fire,,39,52,43,60,50,65
5,5,Charmeleon,1,Normal,Fire,,58,64,58,80,65,80
6,6,Charizard,1,Normal,Fire,Flying,78,84,78,109,85,100
7,6,Mega Charizard X,1,Normal,Fire,Dragon,78,130,111,130,85,100
8,6,Mega Charizard Y,1,Normal,Fire,Flying,78,104,78,159,115,100
9,7,Squirtle,1,Normal,Water,,44,48,65,50,64,43
10,8,Wartortle,1,Normal,Water,,59,63,80,65,80,58
11,9,Blastoise,1,Normal,Water,,79,83,100,85,105,78
12,9,Mega Blastoise,1,Normal,Water,,79,103,120,135,115,78
13,10,Caterpie,1,Normal,Bug,,45,30,35,20,20,45
14,11,Metapod,1,Normal,Bug,,50,20,55,25,25,30
15,12,Butterfree,1,Normal,Bug,Flying,60,45,50,90,80,70
16,13,Weedle,1,Normal,Bug,Poison,40,35,30,20,20,50
17,14,Kakuna,1,Normal,Bug,Poison,45,25,50,25,25,35
18,15,Beedrill,1,Normal,Bug,Poison,65,90,40,45,80,75
19,15,Mega Beedrill,1,Normal,Bug,Poison,65,150,40,15,80,145
20,16,Pidgey,1,Normal,Normal,Flying,40,45,40,35,35,56
21,17,Pidgeotto,1,Normal,Normal,Flying,63,60,55,50,50,71
22,18,Pidgeot,1,Normal,Normal,Flying,83,80,75,70,70,101
23,18,Mega Pidgeot,1,Normal,Normal,Flying,83,80,80,135,80,121
24,19,Rattata,1,Normal,Normal,,30,56,35,25,35,72
25,19,Alolan Rattata,1,Normal,Dark,Normal,30,56,35,25,35,72
26,20,Raticate,1,Normal,Normal,,55,81,60,50,70,97
27,20,Alolan Raticate,1,Normal,Dark,Normal,75,71,70,40,80,77
28,21,Spearow,1,Normal,Normal,Flying,40,60,30,31,31,70
29,22,Fearow,1,Normal,Normal,Flying,65,90,65,61,61,100
30,23,Ekans,1,Normal,Poison,,35,60,44,40,54,55
31,24,Arbok,1,Normal,Poison,,60,95,69,65,79,80
32,25,Pikachu,1,Normal,Electric,,35,55,40,50,50,90
33,25,Partner Pikachu,1,Normal,Electric,,45,80,50,75,60,120
34,26,Raichu,1,Normal,Electric,,60,90,55,90,80,110
35,26,Alolan Raichu,1,Normal,Electric,Psychic,60,85,50,95,85,110
36,27,Sandshrew,1,Normal,Ground,,50,75,85,20,30,40
37,27,Alolan Sandshrew,1,Normal,Ice,Steel,50,75,90,10,35,40
38,28,Sandslash,1,Normal,Ground,,75,100,110,45,55,65
39,28,Alolan Sandslash,1,Normal,Ice,Steel,75,100,120,25,65,65
40,29,Nidoran♀,1,Normal,Poison,,55,47,52,40,40,41
41,30,Nidorina,1,Normal,Poison,,70,62,67,55,55,56
42,31,Nidoqueen,1,Normal,Poison,Ground,90,92,87,75,85,76
43,32,Nidoran♂,1,Normal,Poison,,46,57,40,40,40,50
44,33,Nidorino,1,Normal,Poison,,61,72,57,55,55,65
45,34,Nidoking,1,Normal,Poison,Ground,81,102,77,85,75,85
46,35,Clefairy,1,Normal,Fairy,,70,45,48,60,65,35
47,36,Clefable,1,Normal,Fairy,,95,70,73,95,90,60
48,37,Vulpix,1,Normal,Fire,,38,41,40,50,65,65
49,37,Alolan Vulpix,1,Normal,Ice,,38,41,40,50,65,65
50,38,Ninetales,1,Normal,Fire,,73,76,75,81,100,100
51,38,Alolan Ninetales,1,Normal,Ice,Fairy,73,67,75,81,100,109
52,39,Jigglypuff,1,Normal,Normal,Fairy,115,45,20,45,25,20
53,40,Wigglytuff,1,Normal,Normal,Fairy,140,70,45,85,50,45
54,41,Zubat,1,Normal,Poison,Flying,40,45,35,30,40,55
55,42,Golbat,1,Normal,Poison,Flying,75,80,70,65,75,90
56,43,Oddish,1,Normal,Grass,Poison,45,50,55,75,65,30
57,44,Gloom,1,Normal,Grass,Poison,60,65,70,85,75,40
58,45,Vileplume,1,Normal,Grass,Poison,75,80,85,110,90,50
59,46,Paras,1,Normal,Bug,Grass,35,70,55,45,55,25
60,47,Parasect,1,Normal,Bug,Grass,60,95,80,60,80,30
61,48,Venonat,1,Normal,Bug,Poison,60,55,50,40,55,45
62,49,Venomoth,1,Normal,Bug,Poison,70,65,60,90,75,90
63,50,Diglett,1,Normal,Ground,,10,55,25,35,45,95
64,50,Alolan Diglett,1,Normal,Ground,Steel,10,55,30,35,45,90
65,51,Dugtrio,1,Normal,Ground,,35,100,50,50,70,120
66,51,Alolan Dugtrio,1,Normal,Ground,Steel,35,100,60,50,70,110
67,52,Meowth,1,Normal,Normal,,40,45,35,40,40,90
68,52,Alolan Meowth,1,Normal,Dark,,40,35,35,50,40,90
69,52,Galarian Meowth,1,Normal,Steel,,50,65,55,40,40,40
70,53,Persian,1,Normal,Normal,,65,70,60,65,65,115
71,53,Alolan Persian,1,Normal,Dark,,65,60,60,75,65,115
72,54,Psyduck,1,Normal,Water,,50,52,48,65,50,55
73,55,Golduck,1,Normal,Water,,80,82,78,95,80,85
74,56,Mankey,1,Normal,Fighting,,40,80,35,35,45,70
75,57,Primeape,1,Normal,Fighting,,65,105,60,60,70,95
76,58,Growlithe,1,Normal,Fire,,55,70,45,70,50,60
77,59,Arcanine,1,Normal,Fire,,90,110,80,100,80,95
78,60,Poliwag,1,Normal,Water,,40,50,40,40,40,90
79,61,Poliwhirl,1,Normal,Water,,65,65,65,50,50,90
80,62,Poliwrath,1,Normal,Water,Fighting,90,95,95,70,90,70
81,63,Abra,1,Normal,Psychic,,25,20,15,105,55,90
82,64,Kadabra,1,Normal,Psychic,,40,35,30,120,70,105
83,65,Alakazam,1,Normal,Psychic,,55,50,45,135,95,120
84,65,Mega Alakazam,1,Normal,Psychic,,55,50,65,175,105,150
85,66,Machop,1,Normal,Fighting,,70,80,50,35,35,35
86,67,Machoke,1,Normal,Fighting,,80,100,70,50,60,45
87,68,Machamp,1,Normal,Fighting,,90,130,80,65,85,55
88,69,Bellsprout,1,Normal,Grass,Poison,50,75,35,70,30,40
89,70,Weepinbell,1,Normal,Grass,Poison,65,90,50,85,45,55
90,71,Victreebel,1,Normal,Grass,Poison,80,105,65,100,70,70
91,72,Tentacool,1,Normal,Water,Poison,40,40,35,50,100,70
92,73,Tentacruel,1,Normal,Water,Poison,80,70,65,80,120,100
93,74,Geodude,1,Normal,Rock,Ground,40,80,100,30,30,20
94,74,Alolan Geodude,1,Normal,Rock,Electric,40,80,100,30,30,20
95,75,Graveler,1,Normal,Rock,Ground,55,95,115,45,45,35
96,75,Alolan Graveler,1,Normal,Rock,Electric,55,95,115,45,45,35
97,76,Golem,1,Normal,Rock,Ground,80,120,130,55,65,45
98,76,Alolan Golem,1,Normal,Rock,Electric,80,120,130,55,65,45
99,77,Ponyta,1,Normal,Fire,,50,85,55,65,65,90
100,77,Galarian Ponyta,1,Normal,Psychic,,50,85,55,65,65,90
101,78,Rapidash,1,Normal,Fire,,65,100,70,80,80,105
102,78,Galarian Rapidash,1,Normal,Psychic,Fairy,65,100,70,80,80,105
103,79,Slowpoke,1,Normal,Water,Psychic,90,65,65,40,40,15
104,80,Slowbro,1,Normal,Water,Psychic,95,75,110,100,80,30
105,80,Mega Slowbro,1,Normal,Water,Psychic,95,75,180,130,80,30
106,81,Magnemite,1,Normal,Electric,Steel,25,35,70,95,55,45
107,82,Magneton,1,Normal,Electric,Steel,50,60,95,120,70,70
108,83,Farfetch'd,1,Normal,Normal,Flying,52,90,55,58,62,60
109,83,Galarian Farfetch'd,1,Normal,Fighting,,52,95,55,58,62,55
110,84,Doduo,1,Normal,Normal,Flying,35,85,45,35,35,75
111,85,Dodrio,1,Normal,Normal,Flying,60,110,70,60,60,110
112,86,Seel,1,Normal,Water,,65,45,55,45,70,45
113,87,Dewgong,1,Normal,Water,Ice,90,70,80,70,95,70
114,88,Grimer,1,Normal,Poison,,80,80,50,40,50,25
115,88,Alolan Grimer,1,Normal,Poison,Dark,80,80,50,40,50,25
116,89,Muk,1,Normal,Poison,,105,105,75,65,100,50
