HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Commonname,fmat,Malematurity,diffmalefemalematurity,Gestation,Weaning,LitterClutchsize,LittersClutchesperyear,InterlitterInterbirthinterval,Birthweight,Weaningweight,Adultweight,Growthrate,Maximumlongevity,Source,Specimenorigin,Samplesize,Dataquality,IMR,MRDT,Metabolicrate,Bodymass,Temperature,References
2877,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Alligator.mississippiensis,American alligator,4380,4380,0,,,,,,,,150000,,77,1298,captivity,large,high,,,0.1539,1079,295.31,"19,37,485,527,586,1142,1249,1298"
2878,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Alligator.sinensis,Chinese alligator,,,0,,,,,,,,,,65,1298,captivity,medium,acceptable,,,,,,"4,511,298"
2879,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,crocodilus,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Caiman.crocodilus,Spectacled caiman,,,0,,,,,,,,,,40,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2880,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,latirostris,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Caiman.latirostris,Broad-snouted caiman,,,0,,,,,,,,,,58,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2881,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Melanosuchus,niger,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Melanosuchus.niger,Black caiman,,,0,,,,,,,,,,40,1298,captivity,small,acceptable,,,,,,"4,851,298"
2882,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Paleosuchus,palpebrosus,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Paleosuchus.palpebrosus,Dwarf caiman,,,0,,,,,,,,,,24.1,451,captivity,medium,acceptable,,,,,,"4,511,298"
2883,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Paleosuchus,trigonatus,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Paleosuchus.trigonatus,Smooth-fronted caiman,,,0,,,,,,,,,,40,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2884,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,acutus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.acutus,American crocodile,,,0,,,,,,,,,,47,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2885,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,intermedius,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.intermedius,Orinoco crocodile,,,0,,,,,,,,,,41,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2886,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,johnstoni,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.johnstoni,Johnson's crocodile,,,0,,,,,,,,,,55,1298,wild,medium,questionable,,,,,,"4,855,861,082,114,210,000,000"
2887,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,moreletii,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.moreletii,Morelet's crocodile,,,0,,,,,,,,,,25.4,451,captivity,medium,acceptable,,,,,,"4,511,298"
2888,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,niloticus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.niloticus,Nile crocodile,,,0,,,,,,,,,,56,1298,captivity,medium,acceptable,,,,,,"4,515,275,861,298"
2889,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,novaeguineae,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.novaeguineae,New Guinea crocodile,,,0,,,,,,,,,,51,451,captivity,medium,acceptable,,,,,,"4,511,298"
2890,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,palustris,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.palustris,Mugger or marsh crocodile,,,0,,,,,,,,,,44,1298,captivity,small,acceptable,,,,,,"4,851,298"
2891,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,porosus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.porosus,Saltwater crocodile,,,0,,,,,,,,,,57,1298,captivity,medium,questionable,,,,,,"4,851,298"
2892,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,rhombifer,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.rhombifer,Cuban crocodile,,,0,,,,,,,,,,48,1298,captivity,medium,acceptable,,,,,,"45,111,421,298"
2893,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,siamensis,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.siamensis,Siamese crocodile,,,0,,,,,,,,,,49,1298,captivity,medium,acceptable,,,,,,"4,511,298"
2894,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Mecistops,cataphractus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Mecistops.cataphractus,African slender-snouted crocodile,,,0,,,,,,,,,,56.1,485,captivity,medium,acceptable,,,,,,"4,851,298"
2895,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Osteolaemus,tetraspis,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Osteolaemus.tetraspis,West African dwarf crocodile,1825,1825,0,,,10,,,,,40000,,70,"John Gramieri, pers. comm.",captivity,medium,acceptable,,,,,,"4,481,298"
2896,Animalia,Chordata,Reptilia,Crocodilia,Gavialidae,Gavialis,gangeticus,Animalia.Chordata.Reptilia.Crocodilia.Gavialidae.Gavialis.gangeticus,Gharial,,,0,,,,,,,,,,59,1298,captivity,small,acceptable,,,,,,"45,111,421,298"
2897,Animalia,Chordata,Reptilia,Crocodilia,Gavialidae,Tomistoma,schlegelii,Animalia.Chordata.Reptilia.Crocodilia.Gavialidae.Tomistoma.schlegelii,False gharial,,,0,,,,,,,,,,24.7,451,captivity,medium,acceptable,,,,,,"4,511,298"
2898,Animalia,Chordata,Reptilia,Rhynchocephalia,Sphenodontidae,Sphenodon,punctatus,Animalia.Chordata.Reptilia.Rhynchocephalia.Sphenodontidae.Sphenodon.punctatus,Tuatara,4380,4380,0,,,,,,,,430,,90,451,captivity,medium,acceptable,,,0.0605,430,295.5,"37,451,527"
2899,Animalia,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,arafurae,Animalia.Chordata.Reptilia.Squamata.Acrochordidae.Acrochordus.arafurae,Arafuran file snake,,,0,,,,,,,,,,8.8,451,captivity,small,acceptable,,,,,,451
2900,Animalia,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,javanicus,Animalia.Chordata.Reptilia.Squamata.Acrochordidae.Acrochordus.javanicus,Javan wart snake,,,0,,,,,,,,,,5.8,451,captivity,small,questionable,,,,,,451
2901,Animalia,Chordata,Reptilia,Squamata,Agamidae,Acanthocercus,atricollis,Animalia.Chordata.Reptilia.Squamata.Agamidae.Acanthocercus.atricollis,Plains agama,,,0,,,,,,,,,,6,451,captivity,small,acceptable,,,,,,451
2902,Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,impalearis,Animalia.Chordata.Reptilia.Squamata.Agamidae.Agama.impalearis,Bibron's agama,,,0,,,,,,,,,,6,451,captivity,small,acceptable,,,,,,451
2903,Animalia,Chordata,Reptilia,Squamata,Agamidae,Amphibolurus,nobbi,Animalia.Chordata.Reptilia.Squamata.Agamidae.Amphibolurus.nobbi,Nobbi,,,0,,,,,,,,,,,,unknown,small,low,,,,,,"248,451"
2904,Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes,versicolor,Animalia.Chordata.Reptilia.Squamata.Agamidae.Calotes.versicolor,Indian changeable lizard,,,0,,,,,,,,,,5,582,captivity,tiny,acceptable,,,,,,"2,19,362,363,364,365,366,367,368,456,582"
