year,BudLight,Budweiser,CocaCola,Doritos,E_Trade,Hynudai,Kia,NFL,Pepsi ,Toyota
2000,2,4,0,0,2,0,0,0,0,0
2001,3,2,0,1,2,0,0,1,4,0
2002,4,4,0,0,1,0,0,0,1,0
2003,7,3,0,0,0,0,0,1,1,0
2004,5,3,0,0,0,0,0,0,2,1
2005,4,1,0,0,0,0,0,0,3,0
2006,2,3,0,0,0,0,0,0,2,0
2007,5,3,2,2,1,0,0,0,0,1
2008,7,1,2,1,0,1,0,0,1,0
2009,2,2,3,3,1,2,0,0,2,0
2010,3,1,0,3,3,2,1,1,0,0
2011,1,0,2,1,0,3,1,0,1,0
2012,2,2,3,2,1,1,1,1,1,1
2013,2,3,0,2,1,4,2,0,1,0
2014,3,2,2,2,0,2,1,1,0,1
2015,0,3,1,3,0,0,1,0,1,1
2016,1,2,1,2,0,3,1,1,1,1
2017,0,1,0,0,0,1,1,2,0,0
2018,2,1,3,1,1,1,1,1,1,2
2019,4,1,1,1,0,1,2,1,2,2
2020,1,1,1,1,0,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
